date,growth_value,inflation_value,growth_phase,inflation_phase,macro_state
2019/1/31,49.5,1.7,下行,下行,经济下行 + 通胀下行
2019/2/28,49.2,1.5,下行,上行,经济下行 + 通胀上行
2019/3/31,50.5,2.3,下行,上行,经济下行 + 通胀上行
2019/4/30,50.1,2.5,下行,上行,经济下行 + 通胀上行
2019/5/31,49.4,2.7,下行,上行,经济下行 + 通胀上行
2019/6/30,49.4,2.7,下行,上行,经济下行 + 通胀上行
2019/7/31,49.7,2.8,下行,上行,经济下行 + 通胀上行
2019/8/31,49.5,2.8,下行,上行,经济下行 + 通胀上行
2019/9/30,49.8,3,下行,上行,经济下行 + 通胀上行
2019/10/31,49.3,3.8,下行,上行,经济下行 + 通胀上行
2019/11/30,50.2,4.5,下行,上行,经济下行 + 通胀上行
2019/12/31,50.2,4.5,下行,上行,经济下行 + 通胀上行
2020/1/31,50,5.4,下行,下行,经济下行 + 通胀下行
2020/2/29,35.7,5.2,上行,下行,经济上行 + 通胀下行
2020/3/31,52,4.3,上行,下行,经济上行 + 通胀下行
2020/4/30,50.8,3.3,上行,下行,经济上行 + 通胀下行
2020/5/31,50.6,2.4,上行,下行,经济上行 + 通胀下行
2020/6/30,50.9,2.5,上行,下行,经济上行 + 通胀下行
2020/7/31,51.1,2.7,上行,下行,经济上行 + 通胀下行
2020/8/31,51,2.4,上行,下行,经济上行 + 通胀下行
2020/9/30,51.5,1.7,上行,下行,经济上行 + 通胀下行
2020/10/31,51.4,0.5,上行,下行,经济上行 + 通胀下行
2020/11/30,52.1,-0.5,上行,下行,经济上行 + 通胀下行
