date,growth_value,inflation_value,growth_phase,inflation_phase,macro_state,reference_state,reference_growth_direction,reference_inflation_direction,reference_state_code,bb_growth_direction,bb_inflation_direction,bb_state,bb_state_code,growth_match,inflation_match,state_match
2010-04-30,55.7,2.8,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2010-05-31,53.9,3.1,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2010-06-30,52.1,2.9,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2010-07-31,51.2,3.3,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2010-08-31,51.7,3.5,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2010-09-30,53.8,3.6,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2010-10-31,54.7,4.4,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2010-11-30,55.2,5.1,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2010-12-31,53.9,4.6,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2011-01-31,52.9,4.9,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2011-02-28,52.2,4.944,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2011-03-31,53.4,5.383,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2011-04-30,52.9,5.344,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2011-05-31,52.0,5.515,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2011-06-30,50.9,6.355,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2011-07-31,50.7,6.451,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2011-08-31,50.9,6.151,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2011-09-30,51.2,6.067,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2011-10-31,50.4,5.495,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2011-11-30,49.0,4.225,上行,下行,经济上行 + 通胀下行,滞涨,-1,1,2,1,-1,复苏,0,False,False,False
2011-12-31,50.3,4.07,上行,下行,经济上行 + 通胀下行,滞涨,-1,1,2,1,-1,复苏,0,False,False,False
2012-01-31,50.5,4.5,上行,下行,经济上行 + 通胀下行,滞涨,-1,1,2,1,-1,复苏,0,False,False,False
2012-02-29,51.0,3.2,上行,下行,经济上行 + 通胀下行,滞涨,-1,1,2,1,-1,复苏,0,False,False,False
2012-03-31,53.1,3.6,上行,下行,经济上行 + 通胀下行,滞涨,-1,1,2,1,-1,复苏,0,False,False,False
2012-04-30,53.3,3.4,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2012-05-31,50.4,3.0,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2012-06-30,50.2,2.2,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2012-07-31,50.1,1.8,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2012-08-31,49.2,2.0,下行,下行,经济下行 + 通胀下行,复苏,1,-1,0,-1,-1,衰退,3,False,True,False
2012-09-30,49.8,1.9,下行,下行,经济下行 + 通胀下行,过热,1,1,1,-1,-1,衰退,3,False,False,False
2012-10-31,50.2,1.7,下行,下行,经济下行 + 通胀下行,过热,1,1,1,-1,-1,衰退,3,False,False,False
2012-11-30,50.6,2.0,下行,下行,经济下行 + 通胀下行,过热,1,1,1,-1,-1,衰退,3,False,False,False
2012-12-31,50.6,2.5,下行,下行,经济下行 + 通胀下行,过热,1,1,1,-1,-1,衰退,3,False,False,False
2013-01-31,50.4,2.0305,下行,下行,经济下行 + 通胀下行,过热,1,1,1,-1,-1,衰退,3,False,False,False
2013-02-28,50.1,3.2198,下行,下行,经济下行 + 通胀下行,复苏,1,-1,0,-1,-1,衰退,3,False,True,False
2013-03-31,50.9,2.0696,下行,下行,经济下行 + 通胀下行,复苏,1,-1,0,-1,-1,衰退,3,False,True,False
2013-04-30,50.6,2.3861,下行,下行,经济下行 + 通胀下行,复苏,1,-1,0,-1,-1,衰退,3,False,True,False
2013-05-31,50.8,2.0981,下行,下行,经济下行 + 通胀下行,过热,1,1,1,-1,-1,衰退,3,False,False,False
2013-06-30,50.1,2.6684,下行,下行,经济下行 + 通胀下行,过热,1,1,1,-1,-1,衰退,3,False,False,False
2013-07-31,50.3,2.6741,下行,下行,经济下行 + 通胀下行,过热,1,1,1,-1,-1,衰退,3,False,False,False
2013-08-31,51.0,2.5666,下行,下行,经济下行 + 通胀下行,衰退,-1,-1,3,-1,-1,衰退,3,True,True,True
2013-09-30,51.1,3.0519,下行,下行,经济下行 + 通胀下行,衰退,-1,-1,3,-1,-1,衰退,3,True,True,True
2014-08-31,51.1,1.9909,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2014-09-30,51.1,1.6275,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2014-10-31,50.8,1.6011,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2014-11-30,50.3,1.4393,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2014-12-31,50.1,1.5056,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2015-01-31,49.8,0.7638,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2015-02-28,49.9,1.4311,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2015-03-31,50.1,1.3758,下行,上行,经济下行 + 通胀上行,复苏,1,-1,0,-1,1,滞涨,2,False,False,False
2015-04-30,50.1,1.5091,下行,上行,经济下行 + 通胀上行,复苏,1,-1,0,-1,1,滞涨,2,False,False,False
2015-05-31,50.2,1.2308,下行,上行,经济下行 + 通胀上行,复苏,1,-1,0,-1,1,滞涨,2,False,False,False
2015-06-30,50.2,1.3909,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2015-07-31,50.0,1.6473,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2015-08-31,49.7,1.9554,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2015-09-30,49.8,1.5956,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2015-10-31,49.8,1.2674,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2015-11-30,49.6,1.4856,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2015-12-31,49.7,1.6,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2016-01-31,49.4,1.8,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2016-02-29,49.0,2.3,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2016-03-31,50.2,2.301391,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2016-04-30,50.1,2.327865,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2016-05-31,50.1,2.038999,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2016-06-30,50.0,1.879503,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2016-07-31,49.9,1.765113,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2016-08-31,50.4,1.339773,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2016-09-30,50.4,1.920226,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2016-10-31,51.2,2.095947,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2016-11-30,51.7,2.252258,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2016-12-31,51.4,2.076545,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2017-01-31,51.3,2.549055,上行,上行,经济上行 + 通胀上行,过热,1,1,1,1,1,过热,1,True,True,True
2017-02-28,51.6,0.8,上行,上行,经济上行 + 通胀上行,复苏,1,-1,0,1,1,过热,1,True,False,False
2017-03-31,51.8,0.9,上行,上行,经济上行 + 通胀上行,复苏,1,-1,0,1,1,过热,1,True,False,False
2017-04-30,51.2,1.2,上行,上行,经济上行 + 通胀上行,复苏,1,-1,0,1,1,过热,1,True,False,False
2017-05-31,51.2,1.5,上行,上行,经济上行 + 通胀上行,复苏,1,-1,0,1,1,过热,1,True,False,False
2017-06-30,51.7,1.5,上行,上行,经济上行 + 通胀上行,滞涨,-1,1,2,1,1,过热,1,False,True,False
2017-07-31,51.4,1.4,上行,上行,经济上行 + 通胀上行,衰退,-1,-1,3,1,1,过热,1,False,False,False
2017-08-31,51.7,1.8,上行,上行,经济上行 + 通胀上行,衰退,-1,-1,3,1,1,过热,1,False,False,False
2017-09-30,52.4,1.6,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2017-10-31,51.6,1.9,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2017-11-30,51.8,1.7,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2017-12-31,51.6,1.8,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2018-01-31,51.3,1.5,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2018-02-28,50.3,2.9,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2018-03-31,51.5,2.1,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2018-04-30,51.4,1.8,下行,下行,经济下行 + 通胀下行,衰退,-1,-1,3,-1,-1,衰退,3,True,True,True
2018-05-31,51.9,1.8,下行,下行,经济下行 + 通胀下行,衰退,-1,-1,3,-1,-1,衰退,3,True,True,True
2018-06-30,51.5,1.9,下行,下行,经济下行 + 通胀下行,衰退,-1,-1,3,-1,-1,衰退,3,True,True,True
2018-07-31,51.2,2.1,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2018-08-31,51.3,2.3,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2018-09-30,50.8,2.5,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2018-10-31,50.2,2.5,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2018-11-30,50.0,2.2,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2018-12-31,49.4,1.9,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2019-01-31,49.5,1.7,下行,下行,经济下行 + 通胀下行,滞涨,-1,1,2,-1,-1,衰退,3,True,False,False
2019-02-28,49.2,1.5,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2019-03-31,50.5,2.3,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2019-04-30,50.1,2.5,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2019-05-31,49.4,2.7,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2019-06-30,49.4,2.7,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2019-07-31,49.7,2.8,下行,上行,经济下行 + 通胀上行,滞涨,-1,1,2,-1,1,滞涨,2,True,True,True
2019-08-31,49.5,2.8,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2019-09-30,49.8,3.0,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2019-10-31,49.3,3.8,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2019-11-30,50.2,4.5,下行,上行,经济下行 + 通胀上行,过热,1,1,1,-1,1,滞涨,2,False,True,False
2019-12-31,50.2,4.5,下行,上行,经济下行 + 通胀上行,衰退,-1,-1,3,-1,1,滞涨,2,True,False,False
2020-01-31,50.0,5.4,下行,下行,经济下行 + 通胀下行,衰退,-1,-1,3,-1,-1,衰退,3,True,True,True
2020-02-29,35.7,5.2,上行,下行,经济上行 + 通胀下行,滞涨,-1,1,2,1,-1,复苏,0,False,False,False
2020-03-31,52.0,4.3,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2020-04-30,50.8,3.3,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2020-05-31,50.6,2.4,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2020-06-30,50.9,2.5,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2020-07-31,51.1,2.7,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2020-08-31,51.0,2.4,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2020-09-30,51.5,1.7,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
2020-10-31,51.4,0.5,上行,下行,经济上行 + 通胀下行,复苏,1,-1,0,1,-1,复苏,0,True,True,True
