date,growth_value,inflation_value,growth_phase,inflation_phase,macro_state
2015-11-30,49.699999999999996,1.4510000000000023,下行,上行,增长下行 / 通胀上行
2015-12-31,49.56666666666666,1.6285333333333358,上行,上行,增长上行 / 通胀上行
2016-01-31,49.6,1.9000000000000024,上行,上行,增长上行 / 通胀上行
2016-02-29,49.76666666666667,2.1337970000000026,上行,上行,增长上行 / 通胀上行
2016-03-31,50.0,2.3097520000000027,上行,下行,增长上行 / 通胀下行
2016-04-30,50.13333333333333,2.222751666666669,上行,下行,增长上行 / 通胀下行
2016-05-31,50.06666666666666,2.0821223333333356,上行,下行,增长上行 / 通胀下行
2016-06-30,50.0,1.8945383333333357,上行,下行,增长上行 / 通胀下行
2016-07-31,50.1,1.8413730000000024,上行,下行,增长上行 / 通胀下行
2016-08-31,50.23333333333333,1.854947333333336,上行,下行,增长上行 / 通胀下行
2016-09-30,50.666666666666664,1.9652253333333356,上行,下行,增长上行 / 通胀下行
2016-10-31,51.1,2.0373733333333353,上行,下行,增长上行 / 通胀下行
2016-11-30,51.43333333333334,2.089479666666669,上行,下行,增长上行 / 通胀下行
2016-12-31,51.46666666666667,2.2405156666666692,上行,下行,增长上行 / 通胀下行
2017-01-31,51.43333333333333,1.8085333333333358,上行,下行,增长上行 / 通胀下行
2017-02-28,51.56666666666666,1.4163516666666691,上行,下行,增长上行 / 通胀下行
2017-03-31,51.53333333333333,0.966666666666669,上行,上行,增长上行 / 通胀上行
2017-04-30,51.400000000000006,1.2000000000000022,上行,上行,增长上行 / 通胀上行
2017-05-31,51.36666666666667,1.4000000000000021,上行,上行,增长上行 / 通胀上行
2017-06-30,51.43333333333334,1.4666666666666692,上行,上行,增长上行 / 通胀上行
2017-07-31,51.6,1.566666666666669,上行,上行,增长上行 / 通胀上行
2017-08-31,51.833333333333336,1.6000000000000023,上行,上行,增长上行 / 通胀上行
2017-09-30,51.9,1.766666666666669,上行,上行,增长上行 / 通胀上行
2017-10-31,51.93333333333334,1.7333333333333358,下行,上行,增长下行 / 通胀上行
2017-11-30,51.666666666666664,1.8000000000000023,下行,上行,增长下行 / 通胀上行
2017-12-31,51.56666666666666,1.666666666666669,下行,上行,增长下行 / 通胀上行
2018-01-31,51.43333333333334,2.066666666666669,下行,上行,增长下行 / 通胀上行
2018-02-28,51.4,2.166666666666669,下行,上行,增长下行 / 通胀上行
2018-03-31,51.43333333333333,2.2666666666666693,下行,上行,增长下行 / 通胀上行
2018-04-30,51.6,1.9000000000000024,下行,上行,增长下行 / 通胀上行
2018-05-31,51.6,1.8333333333333357,下行,上行,增长下行 / 通胀上行
2018-06-30,51.53333333333333,1.933333333333336,下行,上行,增长下行 / 通胀上行
2018-07-31,51.333333333333336,2.100000000000002,下行,上行,增长下行 / 通胀上行
2018-08-31,51.1,2.3000000000000025,下行,上行,增长下行 / 通胀上行
2018-09-30,50.76666666666667,2.433333333333336,下行,上行,增长下行 / 通胀上行
2018-10-31,50.333333333333336,2.400000000000002,下行,上行,增长下行 / 通胀上行
2018-11-30,49.86666666666667,2.2000000000000024,下行,上行,增长下行 / 通胀上行
2018-12-31,49.63333333333333,1.9333333333333356,下行,上行,增长下行 / 通胀上行
2019-01-31,49.36666666666667,1.7000000000000022,上行,上行,增长上行 / 通胀上行
2019-02-28,49.73333333333333,1.8333333333333357,上行,上行,增长上行 / 通胀上行
2019-03-31,49.93333333333334,2.100000000000002,上行,上行,增长上行 / 通胀上行
2019-04-30,50.0,2.500000000000002,上行,上行,增长上行 / 通胀上行
2019-05-31,49.63333333333333,2.633333333333336,上行,上行,增长上行 / 通胀上行
2019-06-30,49.5,2.7333333333333356,上行,上行,增长上行 / 通胀上行
2019-07-31,49.53333333333333,2.766666666666669,上行,上行,增长上行 / 通胀上行
2019-08-31,49.666666666666664,2.866666666666669,上行,上行,增长上行 / 通胀上行
2019-09-30,49.53333333333333,3.2000000000000024,上行,上行,增长上行 / 通胀上行
2019-10-31,49.76666666666667,3.7666666666666693,上行,上行,增长上行 / 通胀上行
2019-11-30,49.9,4.266666666666669,上行,上行,增长上行 / 通胀上行
2019-12-31,50.13333333333333,4.800000000000002,上行,上行,增长上行 / 通胀上行
2020-01-31,50.13333333333333,5.033333333333336,上行,下行,增长上行 / 通胀下行
2020-02-29,50.26666666666667,4.9666666666666694,上行,下行,增长上行 / 通胀下行
2020-03-31,50.53333333333333,4.266666666666668,上行,下行,增长上行 / 通胀下行
2020-04-30,50.666666666666664,3.3333333333333357,上行,下行,增长上行 / 通胀下行
2020-05-31,50.76666666666667,2.7333333333333356,上行,下行,增长上行 / 通胀下行
2020-06-30,50.86666666666667,2.5333333333333354,上行,下行,增长上行 / 通胀下行
2020-07-31,51.0,2.5333333333333354,上行,下行,增长上行 / 通胀下行
2020-08-31,51.199999999999996,2.266666666666669,上行,下行,增长上行 / 通胀下行
2020-09-30,51.300000000000004,1.5333333333333357,上行,下行,增长上行 / 通胀下行
2020-10-31,51.666666666666664,0.8000000000000024,上行,下行,增长上行 / 通胀下行
2020-11-30,51.800000000000004,0.3000000000000024,下行,下行,增长下行 / 通胀下行
2020-12-31,51.76666666666666,0.03333333333333571,下行,下行,增长下行 / 通胀下行
2021-01-31,51.26666666666667,-0.09999999999999763,下行,上行,增长下行 / 通胀上行
2021-02-28,51.26666666666666,-0.03333333333333096,下行,上行,增长下行 / 通胀上行
2021-03-31,51.20000000000001,0.3666666666666691,下行,上行,增长下行 / 通胀上行
2021-04-30,51.333333333333336,0.8666666666666689,下行,上行,增长下行 / 通胀上行
2021-05-31,51.0,1.1000000000000023,下行,上行,增长下行 / 通胀上行
2021-06-30,50.76666666666667,1.1333333333333355,下行,上行,增长下行 / 通胀上行
2021-07-31,50.46666666666667,0.966666666666669,下行,上行,增长下行 / 通胀上行
2021-08-31,50.03333333333333,0.8333333333333357,下行,上行,增长下行 / 通胀上行
2021-09-30,49.93333333333334,1.0000000000000024,下行,上行,增长下行 / 通胀上行
2021-10-31,49.93333333333334,1.5000000000000024,下行,上行,增长下行 / 通胀上行
2021-11-30,50.166666666666664,1.766666666666669,下行,上行,增长下行 / 通胀上行
2021-12-31,50.166666666666664,1.566666666666669,下行,上行,增长下行 / 通胀上行
2022-01-31,50.199999999999996,1.1000000000000023,下行,上行,增长下行 / 通胀上行
2022-02-28,49.93333333333334,1.1000000000000023,下行,上行,增长下行 / 通胀上行
2022-03-31,49.76666666666667,1.5000000000000024,下行,上行,增长下行 / 通胀上行
2022-04-30,49.56666666666666,1.9000000000000024,下行,上行,增长下行 / 通胀上行
2022-05-31,49.800000000000004,2.2333333333333356,下行,上行,增长下行 / 通胀上行
2022-06-30,49.6,2.433333333333336,下行,上行,增长下行 / 通胀上行
2022-07-31,49.53333333333334,2.5666666666666695,下行,上行,增长下行 / 通胀上行
2022-08-31,49.5,2.666666666666669,下行,下行,增长下行 / 通胀下行
2022-09-30,49.56666666666666,2.466666666666669,下行,下行,增长下行 / 通胀下行
2022-10-31,49.1,2.166666666666669,下行,下行,增长下行 / 通胀下行
2022-11-30,48.06666666666667,1.833333333333336,上行,下行,增长上行 / 通胀下行
2022-12-31,48.36666666666667,1.8333333333333357,上行,下行,增长上行 / 通胀下行
2023-01-31,49.9,1.6333333333333357,上行,下行,增长上行 / 通胀下行
2023-02-28,50.93333333333334,1.2666666666666693,上行,下行,增长上行 / 通胀下行
2023-03-31,50.63333333333333,0.6000000000000024,上行,下行,增长上行 / 通胀下行
2023-04-30,49.366666666666674,0.3333333333333357,上行,下行,增长上行 / 通胀下行
2023-05-31,49.0,0.10000000000000238,上行,下行,增长上行 / 通胀下行
2023-06-30,49.03333333333333,-0.03333333333333097,上行,下行,增长上行 / 通胀下行
2023-07-31,49.333333333333336,-0.0666666666666643,上行,下行,增长上行 / 通胀下行
2023-08-31,49.73333333333333,-0.0666666666666643,上行,下行,增长上行 / 通胀下行
2023-09-30,49.800000000000004,-0.033333333333330974,上行,下行,增长上行 / 通胀下行
2023-10-31,49.699999999999996,-0.23333333333333098,上行,下行,增长上行 / 通胀下行
2023-11-30,49.300000000000004,-0.333333333333331,上行,下行,增长上行 / 通胀下行
2023-12-31,49.199999999999996,-0.533333333333331,上行,上行,增长上行 / 通胀上行
2024-01-31,49.1,-0.133333333333331,上行,上行,增长上行 / 通胀上行
2024-02-29,49.26666666666667,2.322216493174286e-15,上行,上行,增长上行 / 通胀上行
2024-03-31,49.366666666666674,0.36666666666666897,上行,上行,增长上行 / 通胀上行
2024-04-30,49.5,0.2333333333333357,上行,上行,增长上行 / 通胀上行
2024-05-31,49.5,0.26666666666666905,上行,上行,增长上行 / 通胀上行
2024-06-30,49.46666666666667,0.3333333333333357,上行,上行,增长上行 / 通胀上行
2024-07-31,49.333333333333336,0.4333333333333356,上行,上行,增长上行 / 通胀上行
2024-08-31,49.43333333333334,0.5000000000000023,上行,下行,增长上行 / 通胀下行
2024-09-30,49.666666666666664,0.4333333333333356,上行,下行,增长上行 / 通胀下行
2024-10-31,50.06666666666666,0.3000000000000023,上行,下行,增长上行 / 通胀下行
2024-11-30,50.166666666666664,0.20000000000000231,上行,下行,增长上行 / 通胀下行
2024-12-31,50.20000000000001,0.266666666666669,上行,下行,增长上行 / 通胀下行
2025-01-31,50.166666666666664,0.166666666666669,上行,下行,增长上行 / 通胀下行
2025-02-28,50.300000000000004,0.10000000000000231,下行,下行,增长下行 / 通胀下行
2025-03-31,49.9,-0.1,下行,下行,增长下行 / 通胀下行
2025-04-30,49.666666666666664,-0.1,下行,下行,增长下行 / 通胀下行
2025-05-31,49.4,-0.03333333333333102,下行,下行,增长下行 / 通胀下行
2025-06-30,49.5,2.3129646346357427e-15,下行,下行,增长下行 / 通胀下行
2025-07-31,49.46666666666667,-0.09999999999999769,下行,下行,增长下行 / 通胀下行
2025-08-31,49.5,-0.23333333333333103,下行,上行,增长下行 / 通胀上行
2025-09-30,49.4,-0.16666666666666433,下行,上行,增长下行 / 通胀上行
2025-10-31,49.333333333333336,0.20000000000000231,上行,上行,增长上行 / 通胀上行
2025-11-30,49.43333333333334,0.566666666666669,上行,上行,增长上行 / 通胀上行
2025-12-31,49.53333333333334,0.566666666666669,上行,上行,增长上行 / 通胀上行
2026-01-31,49.46666666666666,0.7666666666666689,上行,上行,增长上行 / 通胀上行
2026-02-28,49.56666666666666,0.8333333333333357,上行,上行,增长上行 / 通胀上行
2026-03-31,49.9,1.166666666666669,上行,上行,增长上行 / 通胀上行
2026-04-30,50.23333333333333,1.1333333333333355,上行,上行,增长上行 / 通胀上行
2026-05-31,50.14999999999999,1.2,上行,上行,增长上行 / 通胀上行
